State,Crime_Info,Value,Category,Crime,Metric,Year
Goa,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,2.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Gujarat,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,235.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Haryana,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,45.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Himachal Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,8.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Jharkhand,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,45.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Karnataka,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,113.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Kerala,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,79.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Madhya Pradesh,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,261.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Maharashtra,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,342.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Manipur,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,9.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Meghalaya,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,10.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Mizoram,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,10.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Nagaland,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,2.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
Odisha,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)___V,12.0,Offences affecting the Human Body_Culpable Homicide not Amounting to Murder (Sec. 304 IPC)_,,V,2021
